episode,avg_rewards,avg_steps,avg_success,epsilon,time_elapsed,real_time_elapsed
100,-0.9873417580130938,69.05,7.000000000000001,0.9056978449586682,0.05130137499999954,0.0
200,-0.07190679294914737,68.54,15.0,0.8194682977764125,0.05600466699999984,0.0
300,-0.494713372836214,69.42,12.0,0.7414484806367364,0.0555974579999976,0.0
400,0.5331781205918719,69.18,22.0,0.6708567627695098,0.06974408399999987,0.0
500,-0.28123156251643766,69.96,13.0,0.6069859307919768,0.06227383399999553,0.0
600,-0.9132198615149413,70.22,9.0,0.5491961035890855,0.07025445900000449,0.0
700,-0.8033085772261278,71.31,9.0,0.49690832175285177,0.06651079200000254,0.0
800,-0.8252704006099064,72.09,8.0,0.44959874735743227,0.07526908300000201,0.0
900,-1.4496439022253775,72.2,3.0,0.4067934159611651,0.06408975000000083,0.0
1000,-1.1642768402684913,74.28,6.0,0.36806348825922275,0.07450204200000599,0.0
1100,-0.9568896258855224,74.26,8.0,0.3330209538162239,0.06830262500000117,0.0
1200,-1.065860366350086,75.42,7.000000000000001,0.3013147438372364,0.07029495800000518,0.0
1300,-1.3290093961352767,78.03,5.0,0.2726272140335106,0.07932741700000179,0.0
1400,-1.1971036852462238,76.78,7.000000000000001,0.24667096234700878,0.08934125000000392,0.0
1500,-0.6251606563162223,77.48,10.0,0.22318594965255484,0.09391329200001053,0.0
1600,-1.286486061780991,80.48,5.0,0.2019368945917472,0.07066558399999678,0.0
1700,-1.044279322747221,81.94,7.000000000000001,0.1827109164391416,0.07956445899999665,0.0
1800,-1.3255911229989499,84.97,5.0,0.1653154023860845,0.10328854200000137,0.0
1900,-1.7432455448485638,83.69,2.0,0.14957607787587202,0.12906962499999963,0.0
2000,-1.556152284157524,90.66,5.0,0.13533526065815754,0.11106741700001521,0.0
2100,-1.6992346289902927,88.54,3.0,0.12245028107108785,0.1059883329999991,0.0
2200,-1.7226556059467604,90.89,3.0,0.11079205272498677,0.09647520799998688,0.0
2300,-1.8550471976716585,94.1,2.0,0.100243779268176,0.1899854170000026,0.0
2400,-1.0239830463285697,85.91,9.0,0.0906997842788457,0.07455954200000292,0.0
2500,-1.4821012144225632,92.06,5.0,0.08206445256040702,0.0738852080000072,0.0
2600,-1.678137789030084,95.43,4.0,0.07425127223384173,0.12497954100001607,0.0
2700,-1.6461269732680879,94.02,4.0,0.06718196803038223,0.08854241700001353,0.0
2800,-1.8137985998330743,102.61,4.0,0.06078571710153414,0.0728528330000131,0.0
2900,-2.065579999398715,101.32,1.0,0.054998439490143596,0.14552175000000034,0.0
3000,-1.5514288691933615,103.18,6.0,0.04976215615419044,0.14769175000003543,0.0
3100,-1.4887549336132426,107.28,7.000000000000001,0.045024408111757654,0.07402833399999054,0.0
3200,-1.952401643714203,115.97,4.0,0.04073773088796111,0.21149524999998448,0.0
3300,-1.908172727160281,106.07,3.0,0.03685917899865878,0.13762383300002057,0.0
3400,-1.9183175718385939,107.24,4.0,0.033349895707044996,0.21786666700000978,0.0
3500,-2.24825746896553,108.36,1.0,0.03017472374279552,0.07410558300000503,0.0
3600,-1.4990805114797907,104.29,7.000000000000001,0.027301853083806962,0.11572404200001074,0.0
3700,-1.6144401030091577,112.87,6.0,0.024702502271880755,0.07943458300002249,0.0
3800,-2.200982423958925,124.93,4.0,0.022350630069656263,0.12600779100000636,0.0
3900,-2.0098398781374676,109.2,3.0,0.0202226745700685,0.0998437499999909,0.0
4000,-1.6933849151089004,112.69,6.0,0.01829731714463408,0.08963495799997645,0.0
4100,-1.998349668017228,118.32,4.0,0.016555268865713936,0.17660637500000576,0.0
4200,-1.9388302059592075,110.15,4.0,0.014979077263054056,0.08844275000001289,0.0
4300,-2.208269992589959,119.05,3.0,0.013552951478620824,0.10469920799999954,0.0
4400,-2.011640051036126,115.53,4.0,0.012262604068069257,0.07420158400003629,0.0
4500,-1.680180237203804,112.77,6.0,0.011095107863953686,0.0931887090000032,0.0
4600,-2.1726662306025575,122.72,3.0,0.010038766466684862,0.08216674999999896,0.0
4700,-1.3931848342830253,109.26,8.0,0.01,0.08219695799999727,0.0
4800,-2.2146939472615115,111.39,1.0,0.01,0.11465258399999811,0.0
4900,-2.2209766687996875,109.1,1.0,0.01,0.0753069580000556,0.0
5000,-2.0855353159653918,115.09,3.0,0.01,0.07515024999997877,0.0
